Organization,Classification,Location
Health Leadership Organization (HLO),Academic,
Health Science 104 Service Learning Club at San Jose State University,Academic,
Health Science Honor Society,Academic,
Health Science Peer Advising ,Academic,
Her Campus @ SJSU,Special Interest,
Hermes Aircraft Design ,Academic,
Hindu Yuva,Cultural and Religious,
Hip-Hop Dance Club,Special Interest,
Hong Kong Student Association (HKSA),Cultural and Religious,
Hospitality Financial and Technology Professions Student Chapter at San Jose State University (HFTP),Special Interest,
HSA SJSU (Hmong Student Association SJSU),Cultural and Religious,
Human Factors and Ergonomics Society Student Chapter,Academic,
Humanities Club ,Special Interest,
I.D.E.A.S at San Jose State University,Special Interest,
Indian Students Organization,Cultural and Religious,
Industrial Designers Society of America,Academic,
Information Systems Audit and Control Association at SJSU,Academic,
Infosec Club,Academic,
Institute of Industrial and Systems Engineers,Academic,
Institute of Management Accountants,Academic,
Institute of Transportation Engineers,Academic,
Inter-Greek Council,Fraternity/Sorority,
Interfraternity Council (IFC),Fraternity/Sorority,
Interior Design Student Organization,Special Interest,
International Business Association,Academic,
International Culture and Communication Association,Cultural and Religious,
International Society for Pharmaceutical Engineering Student Chapter at San Jose State University,Academic,
International Youth Fellowship (IYF),Cultural and Religious,
Intervarsity Christian Fellowship,Cultural and Religious,
"Iota Phi Theta Fraternity, Incorporated",Fraternity/Sorority,
Japanese Student Society at San Jose State University,Cultural and Religious,
Jewelry + Small Metals Guild,Special Interest,
Jewish Student Union,Cultural and Religious,
Jin Bao Racing,Academic,
Juggle at SJSU,Academic,
Justice Studies Graduate Student Association,Special Interest,
"Kappa Alpha Psi Fraternity, Inc.",Fraternity/Sorority,
Kappa Delta Sorority,Fraternity/Sorority,
Kappa Kappa Psi,Academic,
Kappa Sigma Fraternity,Fraternity/Sorority,
Kendo and Naginata Club,Special Interest,
Kinesiology Ambassadors,Academic,
Korea Campus Crusade for Christ,Cultural and Religious,
Korean Entertainment Student Association,Special Interest,
Korean Organization,Cultural and Religious,
Lacrosse Club,Club Sports,
Lambda Sigma Gamma Sorority,Fraternity/Sorority,
Lambda Theta Alpha Latin Sorority Inc.,Fraternity/Sorority,
Lambda Theta Nu Sorority,Fraternity/Sorority,
Lambda Theta Phi Latin Fraternity Inc.,Fraternity/Sorority,
Latino Business Student Association,Academic,
Latter-day Saint Student Association (LDSSA),Cultural and Religious,
Launch Vehicle Systems,Academic,
Le Cercle Français,Academic,
Lebanese Social Club at SJSU (LSC),Cultural and Religious,
Light Ministries,Cultural and Religious,
Linguistics and Language Development Students Association,Academic,
Marketing Association,Academic,
Marvin,Academic,
Master of Public Health Student Association (MPHSA),Academic,
Masters of COMM,Academic,
Materials Advantage,Academic,
Math Discussion Club,Academic,
MEChA (Movimiento Estudiantil Chicano de Aztlan),Special Interest,
Men's Club Soccer,Club Sports,
Mini-Baja,Academic,
Miniature Club ,Special Interest,
MIS Association - Management Information Systems,Academic,Campus
Model United Nations ,Special Interest,
MPA Student Association,Academic,
MPH-Online,Academic,
Mu Phi Epsilon,Academic,
Muslim Students Association,Cultural and Religious,
NAFME Collegiate at SJSU,Academic,
"National Pan-Hellenic Council, Inc. (NPHC)",Fraternity/Sorority,
National Residence Hall Honorary (NRHH),Academic,
National Student Speech Language-Hearing Association,Academic,
Native American Student Organization (NASO),Cultural and Religious,
Natural Hair Club,Special Interest,
NEO Graphic Design,Academic,
Net Impact SJSU ,Academic,
New Heights ,Academic,
Newman Catholic Club,Cultural and Religious,
Nigerian Students Association ,Cultural and Religious,
Nu Alpha Kappa,Fraternity/Sorority,
Nursing Spring 2018,Academic,
Nutrition and Food Science Club,Academic,
Optometry Club,Academic,
Order of Omega,Fraternity/Sorority,
Original Wizarding League of Spartans,Special Interest,
Orthodox Christian Fellowship ,Cultural and Religious,
"oSTEM @ SJSU (Out in Science, Technology, Engineering, and Mathematics)",Academic,
Pakistani Student Association,Cultural and Religious,
"Panhellenic Council, SJSU",Fraternity/Sorority,
"Peer Health Education Program, Student Educators",Special Interest,
Persian Student Association at SJSU ,Cultural and Religious,
"Phi Alpha Theta, Beta Lambda Chapter",Academic,
Phi Beta Sigma Fraternity Inc.,Fraternity/Sorority,
Philosophy Club,Academic,
Photo Guild,Special Interest,
Physics Club at San Jose State University,Academic,
Pi Alpha Phi,Fraternity/Sorority,
Pi Kappa Alpha Fraternity,Fraternity/Sorority,
Pi Kappa Phi Fraternity,Fraternity/Sorority,
Pi Sigma Alpha,Academic,
Pi Tau Sigma,Academic,
Pi Theta Epsilon,Academic,
Pilipino Commencement,Cultural and Religious,
"Pitch, Please!",Special Interest,
Poets & Writers Coalition - SJSU,Special Interest,
Pokemon Club,Special Interest,
Police Cadet Program,Special Interest,
Powerlifting at SJSU,Club Sports,
Pre Law Student Society @ SJSU,Academic,
Pre-Occupational Therapy Club,Academic,
Pre-Pharmacy Club,Academic,
Pre-Physical Therapy Club,Academic,
Pre-Physician Assistant Society ,Academic,
Pre-Soma,Academic,
Pre-Veterinary Club,Academic,
Precision Drill Unit,Academic,
Precision Flight Team,Academic,
Pride of the Pacific Islands,Cultural and Religious,
Printmaking Club,Special Interest,
Progressive Mechanism Design,Academic,
Project SHINE,Special Interest,
Psi Chi,Academic,
Public Health Nursing Club,Academic,
Public Relations Student Society of America,Academic,
Pulse College Ministry,Cultural and Religious,
Q-TIP (Queers Thoughtfully Interrupting Prejudice),Cultural and Religious,
Queer & Asian at San Jose State University (Q&A SJSU),Cultural and Religious,
Reaction Wheel Research,Academic,
Real Options,Special Interest,
Recreation Therapy Association,Academic,
Reformed University Fellowship ,Cultural and Religious,
Remote Control Aircraft Design,Academic,
Replay,Special Interest,
Residence Hall Association (RHA),Special Interest,
Residence Life Association (RLA),Special Interest,
Resource Conservation (RESCON) ,Special Interest,
Robotics Club at SJSU,Academic,
Rocket Club,Special Interest,
Rocket Development Club ,Academic,
Rugby Football Club - Men,Club Sports,
Sabor Spartan ,Special Interest,
SAE International,Academic,
SAHAARA ,Cultural and Religious,
Salsa Club at San Jose State University,Club Sports,
Saltworks College Ministries,Cultural and Religious,
"Salzburg Scholars, The",Academic,
San Jose Dragon Boat,Special Interest,
Satellite Development Club ,Academic,
Saudi Students Association ,Cultural and Religious,
Science 2 to 90T : Success As Spartans,Academic,
Science Extravaganza,Special Interest,
Sculptors' Guild at San Jose State University,Special Interest,
Securities Trading Association ,Academic,
She's the First,Special Interest,
Shotokan Karate Club,Special Interest,
Shrunkenheadman Club: Illustration/ Animation,Special Interest,
Sigma Alpha Epsilon,Fraternity/Sorority,
Sigma Alpha Zeta,Fraternity/Sorority,
Sigma Chi Fraternity,Fraternity/Sorority,
Sigma Delta Alpha,Fraternity/Sorority,
"Sigma Lambda Beta International Fraternity, Inc.",Fraternity/Sorority,
Sigma Nu Fraternity,Fraternity/Sorority,
Sigma Omega Phi,Fraternity/Sorority,
Sigma Omicron Pi,Fraternity/Sorority,
Sigma Pi Alpha Sorority,Fraternity/Sorority,
Sigma Theta Psi,Fraternity/Sorority,
Sikh Students Association,Cultural and Religious,
SME,Special Interest,
Social Science Teacher Preparation Student Association,Academic,
Social Work Graduate Student Association,Academic,
Society for Computer Engineering,Academic,
Society for Human Resource Management (SHRM),Academic,
Society of Collegiate Leadership and Achievement (SCLA),Academic,
Society of Latino Engineers and Scientists (SOLES),Academic,
Society of Plastics Engineers,Academic,
Society of Women Engineers,Academic,
Soka Lions,Cultural and Religious,
South Bay Assembly of Nursing,Special Interest,
Sparta Optics ,Academic,
Spartan Advertising Club,Academic,
Spartan Athletic Training Organization,Academic,
Spartan Baseball ,Club Sports,
Spartan Bodybuilding,Special Interest,
Spartan Cross Country and Track Club,Club Sports,
Spartan Cycling Club,Club Sports,
Spartan Drone,Academic,
Spartan Embedded Hardware,Academic,
Spartan Embedded Software,Academic,
Spartan Fencing Guild ,Special Interest,
Spartan Food ,Special Interest,
Spartan Graphic Design Club,Academic,
Spartan Hyperloop at SJSU,Academic,
Spartan MD-SJSU AMSA,Academic,
Spartan Nurses Spring 2017,Academic,
